Year,Texas_Income,Texas_Growth,Luzon_Income,Luzon_Growth
1990,42000,0.025,2500,0.055
1991,43049,0.025,2637,0.055
1992,44126,0.025,2782,0.055
1993,45229,0.025,2935,0.055
1994,46360,0.025,3097,0.055
1995,47519,0.025,3267,0.055
1996,48707,0.025,3447,0.055
1997,49924,0.025,3636,0.055
1998,51172,0.025,3836,0.055
1999,52452,0.025,4047,0.055
2000,53763,0.025,4270,0.055
2001,55107,0.025,4505,0.055
2002,56485,0.025,4753,0.055
2003,57897,0.025,5014,0.055
2004,59344,0.025,5290,0.055
2005,60828,0.025,5581,0.055
2006,62349,0.025,5888,0.055
2007,63907,0.025,6212,0.055
2008,65505,0.025,6553,0.055
2009,67143,0.025,6914,0.055
2010,68821,0.025,7294,0.055
2011,70542,0.025,7695,0.055
2012,72305,0.025,8118,0.055
2013,74113,0.025,8565,0.055
2014,75966,0.025,9036,0.055
2015,77865,0.025,9533,0.055
2016,79812,0.025,10057,0.055
2017,81807,0.025,10611,0.055
2018,83852,0.025,11194,0.055
2019,85949,0.025,11810,0.055
2020,88097,0.025,12459,0.055
2021,90300,0.025,13145,0.055
2022,92557,0.025,13868,0.055
2023,94871,0.025,14630,0.055
2024,97243,0.025,15435,0.055
